Game,Human-Human,Human-Random,Noop-Human,Noop-Random
Alien,6371.3,128.3,6875,227.8
Amidar,1540.4,11.8,1676,5.8
Assault,628.9,166.9,1496,222.4
Asterix,7536,164.5,8503,210
Asteroids,36517.3,871.3,13157,719.1
Atlantis,26575,13463,29028,12850
Bank Heist,644.5,21.7,734.4,14.2
Battle Zone,33030,3560,37800,2360
Beam Rider,14961,254.6,5775,363.9
Berzerk,2237.5,196.1,2630.4,123.7
Bowling,146.5,35.2,154.8,23.1
Boxing,9.6,-1.5,4.3,0.1
Breakout,27.9,1.6,31.8,1.7
Centipede,10321.9,1925.5,11963,2090.9
Chopper Command,8930,644,9882,811
Crazy Climber,32667,9337,35411,10780.5
Defender,14296,1965.5,18688.9,2874.5
Demon Attack,3442.8,208.3,3401,152.1
Double Dunk,-14.4,-16,-15.5,-18.6
Enduro,740.2,-81.8,309.6,0
Fishing Derby,5.1,-77.1,5.5,-91.7
Freeway,25.6,0.1,29.6,0
Frostbite,4202.8,66.4,4335,65.2
Gopher,2311,250,2321,257.6
Gravitar,3116,245.5,2672,173
H.E.R.O,25839.4,1580.3,25763,1027
Ice Hockey,0.5,-9.7,0.9,-11.2
Kangaroo,2739,100,3035,52
Krull,2109.1,1151.9,2395,1598
Kung-Fu Master,20786.8,304,22736,258
Montezuma's Revenge,4182,25,4367,0
Ms. Pacman,15375,197.8,15693,307.3
Name This Game,6796,1747.8,4076,2292.3
Phoenix,6686,1134.4,7242.6,761.4
Pit Fall,5998.9,-348.8,6463.7,-229.4
Pong,15.5,-18,9.3,-20.7
Private Eye**,64169.1,662.8,69571,24.9
Q*Bert,12085,183,13455,163.9
Road Runner,6878,200,7845,11.5
Robotank,8.9,2.4,11.9,2.2
Seaquest,40425.8,215.5,20182,68.4
Skiing,-3686.6,-15287.4,-4336.9,-170981.1
Solaris**,11032.6,2047.2,12326.7,1236.3
Space Invaders,1464.9,182.6,1652,148
Star Gunner,9528,697,10250,664
Surround,5.4,-9.7,6.5,-10
Tennis,-6.7,-21.4,-8.9,-23.8
Time Pilot,5650,3273,5925,3568
Tutankham,138.3,12.7,167.6,11.4
Venture,1039,18,1188,0
Video Pinball*,15641.1,20452,17767.9,16256.9
Wizard of Wor,4556,804,4757,563.5
Yars Revenge,47135.2,1476.9,54576.9,3092.9
Zaxxon,8443,475,9173.3,32.5
