Game,Human-Human,Human-Random,Noop-Human,Noop-Random
Alien,6371.3,128.3,6875,227.8
Asteroids,36517.3,871.3,13157,719.1
Berzerk,2237.5,196.1,2630.4,123.7
Bowling,146.5,35.2,154.8,23.1
Defender,14296,1965.5,18688.9,2874.5
Gravitar,3116,245.5,2672,173
Krull,2109.1,1151.9,2395,1598
Montezuma's Revenge,4182,25,4367,0
Ms. Pacman,15375,197.8,15693,307.3
Phoenix,6686,1134.4,7242.6,761.4
Pit Fall,5998.9,-348.8,6463.7,-229.4
Private Eye**,64169.1,662.8,69571,24.9
Skiing,-3686.6,-15287.4,-4336.9,-170981.1
Solaris**,11032.6,2047.2,12326.7,1236.3
Surround,5.4,-9.7,6.5,-10
Yars Revenge,47135.2,1476.9,54576.9,3092.9
