Game,Human-Human,Human-Random
Alien,6371.3,128.3
Amidar,1540.4,11.8
Assault,628.9,166.9
Asterix,7536,164.5
Asteroids,36517.3,871.3
Atlantis,26575,13463
Bank Heist,644.5,21.7
Battle Zone,33030,3560
Beam Rider,14961,254.6
Berzerk,2237.5,196.1
Bowling,146.5,35.2
Boxing,9.6,-1.5
Breakout,27.9,1.6
Centipede,10321.9,1925.5
Chopper Command,8930,644
Crazy Climber,32667,9337
Defender,14296,1965.5
Demon Attack,3442.8,208.3
Double Dunk,-14.4,-16
Enduro,740.2,-81.8
Fishing Derby,5.1,-77.1
Freeway,25.6,0.1
Frostbite,4202.8,66.4
Gopher,2311,250
Gravitar,3116,245.5
H.E.R.O,25839.4,1580.3
Ice Hockey,0.5,-9.7
Kangaroo,2739,100
Krull,2109.1,1151.9
Kung-Fu Master,20786.8,304
Montezuma's Revenge,4182,25
Ms. Pacman,15375,197.8
Name This Game,6796,1747.8
Phoenix,6686,1134.4
Pit Fall,5998.9,-348.8
Pong,15.5,-18
Private Eye**,64169.1,662.8
Q*Bert,12085,183
Road Runner,6878,200
Robotank,8.9,2.4
Seaquest,40425.8,215.5
Skiing,-3686.6,-15287.4
Solaris**,11032.6,2047.2
Space Invaders,1464.9,182.6
Star Gunner,9528,697
Surround,5.4,-9.7
Tennis,-6.7,-21.4
Time Pilot,5650,3273
Tutankham,138.3,12.7
Venture,1039,18
Video Pinball*,15641.1,20452
Wizard of Wor,4556,804
Yars Revenge,47135.2,1476.9
Zaxxon,8443,475
