games,calculatedCats
Alien,3
Amidar,3
Assault,4
Asterix,5
Asteroids,1
Atlantis,4
Bank Heist,7
Battle Zone,0
Beam Rider,3
Berzerk ,9
Bowling,10
Boxing,3
Breakout,6
Centipede,5
Chopper Command,1
Crazy Climber,9
Defender,2
Demon Attack ,2
Double Dunk ,4
Enduro,3
Fishing Derby ,7
Freeway,10
Frostbite ,0
Gopher,9
Gravitar ,1
H.E.R.O,2
Ice Hockey ,9
Kangaroo,10
Krull,3
Kung-Fu Master,9
Montezuma's Revenge,6
Ms. Pacman,3
Name This Game ,3
Phoenix,2
Pit Fall,4
Pong,3
Private Eye**,6
Q*Bert,7
Road Runner,0
Robotank,8
Seaquest,7
Skiing,3
Solaris**,1
Space Invaders,2
Star Gunner,2
Surround,0
Tennis,5
Time Pilot,2
Tutankham,1
Venture,9
Video Pinball*,3
Wizard of Wor ,2
Yars Revenge,7
Zaxxon,2
