games,calculatedCats
Alien,1
Amidar,8
Assault,6
Asterix,9
Asteroids,3
Atlantis,0
Bank Heist,5
Battle Zone,2
Beam Rider,6
Berzerk ,1
Bowling,1
Boxing,4
Breakout,9
Centipede,1
Chopper Command,8
Crazy Climber,4
Defender,0
Demon Attack ,0
Double Dunk ,4
Enduro,4
Fishing Derby ,5
Freeway,10
Frostbite ,7
Gopher,6
Gravitar ,3
H.E.R.O,0
Ice Hockey ,2
Kangaroo,4
Krull,4
Kung-Fu Master,2
Montezuma's Revenge,3
Ms. Pacman,3
Name This Game ,4
Phoenix,0
Pit Fall,3
Pong,2
Private Eye**,3
Q*Bert,5
Road Runner,4
Robotank,4
Seaquest,7
Skiing,2
Solaris**,3
Space Invaders,0
Star Gunner,0
Surround,7
Tennis,9
Time Pilot,0
Tutankham,8
Venture,1
Video Pinball*,6
Wizard of Wor ,0
Yars Revenge,3
Zaxxon,0
