games,calculatedCats
Alien,2
Amidar,2
Assault,1
Asterix,5
Asteroids,0
Atlantis,2
Bank Heist,2
Battle Zone,5
Beam Rider,5
Berzerk ,2
Bowling,0
Boxing,1
Breakout,4
Centipede,2
Chopper Command,2
Crazy Climber,1
Defender,2
Demon Attack ,1
Double Dunk ,1
Enduro,3
Fishing Derby ,6
Freeway,7
Frostbite ,2
Gopher,1
Gravitar ,2
H.E.R.O,2
Ice Hockey ,5
Kangaroo,2
Krull,2
Kung-Fu Master,1
Montezuma's Revenge,2
Ms. Pacman,2
Name This Game ,1
Phoenix,5
Pit Fall,2
Pong,6
Private Eye**,0
Q*Bert,2
Road Runner,5
Robotank,6
Seaquest,2
Skiing,6
Solaris**,0
Space Invaders,5
Star Gunner,5
Surround,3
Tennis,8
Time Pilot,5
Tutankham,2
Venture,2
Video Pinball*,2
Wizard of Wor ,2
Yars Revenge,2
Zaxxon,5
