Game,Human-DQN,Human-DDQN,Human-DDQN-T,Human-DQN Prio (RB),Human-DDQN-T Prio,Human-DDQN-T Duel,Human-Noisy DQN,Human-Distrib. DQN,Human-A3C
Alien,634,621.6,1033.4,1191,900.5,1486.5,533.3,1997.5,518.4
Amidar,178.4,188.2,169.1,98.9,218.4,172.7,148,237.7,263.9
Assault,3489.3,2774.3,6060.8,3081.3,7748.5,3994.8,5124.3,5101.3,5474.9
Asterix,3170.5,5285,16837,9199.5,31907.5,15840,8277.3,395599.5,22140.5
Asteroids,1458.7,1219,1193.2,1677.2,1654,2035.4,4078.1,2071.7,4474.5
Atlantis,292491,260556,319688,207526,593642,445360,303666.5,289803,911091
Bank Heist,312.7,469.8,886,823.7,816.8,1129.3,955,835.6,970.1
Battle Zone,23750,25240,24740,22250,29100,31320,26985,32250,12950
Beam Rider,9743.2,9107.9,17417.2,12041.9,26172.7,14591.3,15241.5,15002.4,22707.9
Berzerk,493.4,635.8,1011.1,644,1165.6,910.6,670.8,1000,817.9
Bowling,56.5,62.3,69.6,58,65.8,65.7,79.3,76.8,35.1
Boxing,70.3,52.1,73.5,69.6,68.6,77.3,66.3,62.1,59.8
Breakout,354.5,338.7,368.9,481.1,371.6,411.6,423.3,548.7,681.9
Centipede,3973.9,5166.6,3853.5,2959.4,3421.9,4881,4214.4,7476.9,3755.8
Chopper Command,5017,2483,3495,6685,6604,3784,8778.5,9600.5,7021
Crazy Climber,98128,94315,113782,109337,131086,124566,98576.5,154416.5,112646
Defender,15917.5,8531,27510,20634,21093.5,33996,18037.5,32246,56533
Demon Attack,12550.7,13943.5,69803.4,19478.8,73185.8,56322.8,25207.8,109856.6,113308.4
Double Dunk,-6,-6.4,-0.3,-5.3,2.7,-0.8,-1,-3.7,-0.1
Enduro,626.7,475.9,1216.6,1265.6,1884.4,2077.4,1021.5,2113.4,-82.5
Fishing Derby,-1.6,-3.4,3.2,3.5,9.2,-4.1,-3.7,-4.9,18.8
Freeway,26.9,26.3,28.8,28.4,27.9,0.2,27.1,28.8,0.1
Frostbite,496.1,258.3,1448.1,288.7,2930.2,2332.4,418.8,2813.9,190.5
Gopher,8190.4,8742.8,15253,17478.2,57783.8,20051.4,13131,27778.3,10022.8
Gravitar,298,170,200.5,351,218,297,250.5,422,303.5
H.E.R.O,14992.9,15341.4,14892.5,15150.9,20506.4,15207.9,2454.2,28554.2,32464.1
Ice Hockey,-1.6,-3.6,-2.5,-3.8,-1,-1.3,-2.4,-0.1,-2.8
Kangaroo,4496,6138,11204,9053,10241,10334,7465,9555.5,94
Krull,6206,6130.4,6796.1,11209.5,7406.5,8051.6,6833.5,6757.8,5560
Kung-Fu Master,20882,22771,30207,20181,31244,24288,27921,33890,28819
Montezuma's Revenge,47,30,42,44,13,22,55,130,67
Ms. Pacman,1092.3,1401.8,1241.3,964.7,1824.6,2250.6,1012.1,2064.1,653.7
Name This Game,6738.8,7871.5,8960.3,8738.5,11836.1,11185.1,7186.4,11382.3,10476.1
Phoenix,7484.8,10364,12366.5,16107.8,27430.1,20410.5,15505,31358.3,52894.1
Pit Fall,-113.2,-432.9,-186.7,-193.7,-14.8,-46.9,-154.4,-342.8,-78.5
Pong,18,17.7,19.1,18.7,18.9,18.8,18,18.9,5.6
Private Eye**,207.9,346.3,-575.5,2202.3,179,292.6,5955.4,5717.5,206.9
Q*Bert,9271.5,10713.3,11020.8,12740.5,11277,14175.8,9176.6,15035.9,15148.8
Road Runner,35215,43884,43156,57207,56990,58549,35376.5,56086,34216
Robotank,58.7,52,59.1,51.3,55.4,62,50.9,49.8,32.8
Seaquest,4216.7,4199.4,14498,11848.8,39096.7,37361.6,2353.1,3275.4,2355.4
Skiing,-12142.1,-29404.3,-11490.4,-29404.3,-10852.8,-11928,-13905.9,-13247.7,-10911.1
Solaris**,1295.4,2166.8,810,134.6,2238.2,1768.4,2608.2,2530.2,1956
Space Invaders,1293.8,1495.7,2628.7,1696.9,9063,5993.1,1697.2,6368.6,15730.5
Star Gunner,52970,53052,58365,58946,51959,90804,31864.5,67054.5,138218
Surround,-6,-7.6,1.9,-5.3,-0.9,4,-3.1,4.5,-9.7
Tennis,11.1,11,-7.8,-2.3,-2,4.4,-2.1,22.6,-6.3
Time Pilot,4786,5375,6608,5391,7448,6601,5311,7684.5,12679
Tutankham,45.6,63.6,92.2,96.5,33.6,48,123.3,124.3,156.3
Venture,136,75,21,110,244,200,10.5,462,23
Video Pinball*,154414.1,148883.6,367823.7,214925.3,374886.9,110976.2,241851.7,455052.7,331628.1
Wizard of Wor,1609,155,6201,2755,7451,7054,4796.5,11824.5,17244
Yars Revenge,4577.5,5439.5,6270.6,6626.7,5965.1,25976.5,5487.3,8267.7,7157.5
Zaxxon,4412,7874,8593,5901,9501,10164,7650.5,15130,24622
