Game,Noop-DQN,Noop-DDQN,Noop-DDQN Prio,Noop-DDQN Duel,Noop-Distrib. DQN,Noop-Noisy DQN,Noop Reactor
Alien,1620,3747.7,6648.6,4461.4,4055.8,2394.9,6482.1
Amidar,978,1793.3,2051.8,2354.5,1267.9,1608,833
Assault,4280,5393.2,7965.7,4621,5909,5198.6,11013.5
Asterix,4359,17356.2,41268,28188,400529.5,12403.8,36238.5
Asteroids,1364.5,734.7,1699.3,2837.7,2354.7,4814.1,2780.4
Atlantis,279987,106056,427658,382572,273895,329010,308258
Bank Heist,455,1030.6,1126.8,1611.9,1056.7,1323,988.7
Battle Zone,29900,31700,38130,37150,41145,32050,61220
Beam Rider,8627.5,13772.8,22430.7,12164,13213.4,12534,8566.5
Berzerk,585.6,1225.4,1614.2,1472.6,1421.8,837.3,1641.4
Bowling,50.4,68.1,92.6,65.5,74.1,77.3,75.4
Boxing,88,91.6,98.8,99.4,98.1,83.3,99.4
Breakout,385.5,418.5,381.5,345.3,6125,459.1,518.4
Centipede,4657.7,5409.4,5175.4,7561.4,9015.5,4355.8,3402.8
Chopper Command,6126,5809,5135,11215,13136,9519,37568
Crazy Climber,110763,117282,183137,143570,178355,118768,194347
Defender,23633,35338.5,24162.5,42214,37896.8,23083,113128
Demon Attack,12149.4,58044.2,70171.8,60813.3,110626.5,24950.1,100189
Double Dunk,-6.6,-5.5,4.8,0.1,-3.8,-1.8,11.4
Enduro,729,1211.8,2155,2258.2,2259.3,1129.2,2230.1
Fishing Derby,-4.9,15.5,30.2,46.4,9.1,7.7,23.2
Freeway,30.8,33.3,32.9,0,33.6,32,31.4
Frostbite,797.4,1683.3,3421.6,4672.8,3938.2,583.6,8042.1
Gopher,8777.4,14840.8,49097.4,15718.8,28841,15107.9,69135.1
Gravitar,473,412,330.5,588,681,443.5,1073.8
H.E.R.O,20437.8,20130.2,27153.9,20818.2,33860.9,5053.1,35542.2
Ice Hockey,-1.9,-2.7,0.3,0.5,1.3,-2.1,3.4
Kangaroo,7259,12992,14492,14854,12909,12117,10484.5
Krull,8422.3,7290.5,10263.1,11451.9,9885.9,9061.9,9930.8
Kung-Fu Master,26059,29710,43470,34294,43009,34099,59799.5
Montezuma's Revenge,0,0,0,0,367,0,2643.5
Ms. Pacman,3085.6,2711.4,4751.2,6283.5,3769.2,2501.6,2724.3
Name This Game,8207.8,10616,13439.4,11971.1,12983.6,8332.4,9907.2
Phoenix,8485.2,12252.5,32808.3,23092.2,34775,16974.3,40092.2
Pit Fall,-286.1,-29.9,0,0,-2.1,-18.2,-3.5
Pong,19.5,20.9,20.7,21,20.8,21,20.7
Private Eye**,146.7,129.7,200,103,15172.9,3966,15177.1
Q*Bert,13117.3,15088.5,18802.8,19220.3,16956,15276.3,22956.5
Road Runner,39544,44127,62785,69524,63366,41681,71168
Robotank,63.9,65.1,58.6,65.3,54.2,53.5,68.5
Seaquest,5860.6,16452.7,44417.4,50254.2,4754.4,2495.4,8425.8
Skiing,-13062.3,-9092.8,-9900.5,-8857.4,-14959.8,-16307.3,-10753.4
Solaris**,3482.8,3067.8,1710.8,2250.8,5643.1,3204.5,2760
Space Invaders,1692.3,2525.5,7696.9,6427.3,6869.1,2145.5,2448.6
Star Gunner,54282,60142,56641,89238,69306.5,34504.5,70038
Surround,-5.6,-2.9,2.1,4.4,6.2,-3.3,6.7
Tennis,12.2,-22.8,0,5.1,23.6,0,23.3
Time Pilot,4870,8339,11448,11666,7875,6157,19401
Tutankham,68.1,218.4,87.2,211.4,249.4,231.6,272.6
Venture,163,98,863,497,1107,0,1597.5
Video Pinball*,196760.4,309941.9,406420.4,98209.5,478646.7,270444.6,469366
Wizard of Wor,2704,7492,10373,7855,15994.5,5432,13170.5
Yars Revenge,18089.9,11712.6,16451.7,49622.1,16608.6,9570.1,102760
Zaxxon,5363,10163,13490,12944,18347.5,9390,25215.5
