Game,Leaderboard,Human-Human,Human-Random,Human-DQN,Human-DDQN,Human-DDQN-T,Human-DQN Prio (RB),Human-DDQN-T Prio,Human-DDQN-T Duel,Human-Noisy DQN,Human-Distrib. DQN,Human-A3C,Noop-Human,Noop-Random,Noop-DQN,Noop-DDQN,Noop-DDQN Prio,Noop-DDQN Duel,Noop-Distrib. DQN,Noop-Noisy DQN,Noop Reactor
Alien,103583,6371.3,128.3,634,621.6,1033.4,1191,900.5,1486.5,533.3,1997.5,518.4,6875,227.8,1620,3747.7,6648.6,4461.4,4055.8,2394.9,6482.1
Amidar,71529,1540.4,11.8,178.4,188.2,169.1,98.9,218.4,172.7,148,237.7,263.9,1676,5.8,978,1793.3,2051.8,2354.5,1267.9,1608,833
Assault,8647,628.9,166.9,3489.3,2774.3,6060.8,3081.3,7748.5,3994.8,5124.3,5101.3,5474.9,1496,222.4,4280,5393.2,7965.7,4621,5909,5198.6,11013.5
Asterix,1000000,7536,164.5,3170.5,5285,16837,9199.5,31907.5,15840,8277.3,395599.5,22140.5,8503,210,4359,17356.2,41268,28188,400529.5,12403.8,36238.5
Asteroids,57340,36517.3,871.3,1458.7,1219,1193.2,1677.2,1654,2035.4,4078.1,2071.7,4474.5,13157,719.1,1364.5,734.7,1699.3,2837.7,2354.7,4814.1,2780.4
Atlantis,10604840,26575,13463,292491,260556,319688,207526,593642,445360,303666.5,289803,911091,29028,12850,279987,106056,427658,382572,273895,329010,308258
Bank Heist,45899,644.5,21.7,312.7,469.8,886,823.7,816.8,1129.3,955,835.6,970.1,734.4,14.2,455,1030.6,1126.8,1611.9,1056.7,1323,988.7
Battle Zone,98000,33030,3560,23750,25240,24740,22250,29100,31320,26985,32250,12950,37800,2360,29900,31700,38130,37150,41145,32050,61220
Beam Rider,52866,14961,254.6,9743.2,9107.9,17417.2,12041.9,26172.7,14591.3,15241.5,15002.4,22707.9,5775,363.9,8627.5,13772.8,22430.7,12164,13213.4,12534,8566.5
Berzerk,1057940,2237.5,196.1,493.4,635.8,1011.1,644,1165.6,910.6,670.8,1000,817.9,2630.4,123.7,585.6,1225.4,1614.2,1472.6,1421.8,837.3,1641.4
Bowling,279,146.5,35.2,56.5,62.3,69.6,58,65.8,65.7,79.3,76.8,35.1,154.8,23.1,50.4,68.1,92.6,65.5,74.1,77.3,75.4
Boxing,99,9.6,-1.5,70.3,52.1,73.5,69.6,68.6,77.3,66.3,62.1,59.8,4.3,0.1,88,91.6,98.8,99.4,98.1,83.3,99.4
Breakout,864,27.9,1.6,354.5,338.7,368.9,481.1,371.6,411.6,423.3,548.7,681.9,31.8,1.7,385.5,418.5,381.5,345.3,6125,459.1,518.4
Centipede,453916,10321.9,1925.5,3973.9,5166.6,3853.5,2959.4,3421.9,4881,4214.4,7476.9,3755.8,11963,2090.9,4657.7,5409.4,5175.4,7561.4,9015.5,4355.8,3402.8
Chopper Command,999999,8930,644,5017,2483,3495,6685,6604,3784,8778.5,9600.5,7021,9882,811,6126,5809,5135,11215,13136,9519,37568
Crazy Climber,219900,32667,9337,98128,94315,113782,109337,131086,124566,98576.5,154416.5,112646,35411,10780.5,110763,117282,183137,143570,178355,118768,194347
Defender,5443150,14296,1965.5,15917.5,8531,27510,20634,21093.5,33996,18037.5,32246,56533,18688.9,2874.5,23633,35338.5,24162.5,42214,37896.8,23083,113128
Demon Attack,115201,3442.8,208.3,12550.7,13943.5,69803.4,19478.8,73185.8,56322.8,25207.8,109856.6,113308.4,3401,152.1,12149.4,58044.2,70171.8,60813.3,110626.5,24950.1,100189
Double Dunk,4.8,-14.4,-16,-6,-6.4,-0.3,-5.3,2.7,-0.8,-1,-3.7,-0.1,-15.5,-18.6,-6.6,-5.5,4.8,0.1,-3.8,-1.8,11.4
Enduro,2260,740.2,-81.8,626.7,475.9,1216.6,1265.6,1884.4,2077.4,1021.5,2113.4,-82.5,309.6,0,729,1211.8,2155,2258.2,2259.3,1129.2,2230.1
Fishing Derby,51,5.1,-77.1,-1.6,-3.4,3.2,3.5,9.2,-4.1,-3.7,-4.9,18.8,5.5,-91.7,-4.9,15.5,30.2,46.4,9.1,7.7,23.2
Freeway,38,25.6,0.1,26.9,26.3,28.8,28.4,27.9,0.2,27.1,28.8,0.1,29.6,0,30.8,33.3,32.9,0,33.6,32,31.4
Frostbite,248460,4202.8,66.4,496.1,258.3,1448.1,288.7,2930.2,2332.4,418.8,2813.9,190.5,4335,65.2,797.4,1683.3,3421.6,4672.8,3938.2,583.6,8042.1
Gopher,70354,2311,250,8190.4,8742.8,15253,17478.2,57783.8,20051.4,13131,27778.3,10022.8,2321,257.6,8777.4,14840.8,49097.4,15718.8,28841,15107.9,69135.1
Gravitar,39100,3116,245.5,298,170,200.5,351,218,297,250.5,422,303.5,2672,173,473,412,330.5,588,681,443.5,1073.8
H.E.R.O,257310,25839.4,1580.3,14992.9,15341.4,14892.5,15150.9,20506.4,15207.9,2454.2,28554.2,32464.1,25763,1027,20437.8,20130.2,27153.9,20818.2,33860.9,5053.1,35542.2
Ice Hockey,25,0.5,-9.7,-1.6,-3.6,-2.5,-3.8,-1,-1.3,-2.4,-0.1,-2.8,0.9,-11.2,-1.9,-2.7,0.3,0.5,1.3,-2.1,3.4
Kangaroo,1424600,2739,100,4496,6138,11204,9053,10241,10334,7465,9555.5,94,3035,52,7259,12992,14492,14854,12909,12117,10484.5
Krull,104100,2109.1,1151.9,6206,6130.4,6796.1,11209.5,7406.5,8051.6,6833.5,6757.8,5560,2395,1598,8422.3,7290.5,10263.1,11451.9,9885.9,9061.9,9930.8
Kung-Fu Master,79360,20786.8,304,20882,22771,30207,20181,31244,24288,27921,33890,28819,22736,258,26059,29710,43470,34294,43009,34099,59799.5
Montezuma's Revenge,400000,4182,25,47,30,42,44,13,22,55,130,67,4367,0,0,0,0,0,367,0,2643.5
Ms. Pacman,211480,15375,197.8,1092.3,1401.8,1241.3,964.7,1824.6,2250.6,1012.1,2064.1,653.7,15693,307.3,3085.6,2711.4,4751.2,6283.5,3769.2,2501.6,2724.3
Name This Game,21210,6796,1747.8,6738.8,7871.5,8960.3,8738.5,11836.1,11185.1,7186.4,11382.3,10476.1,4076,2292.3,8207.8,10616,13439.4,11971.1,12983.6,8332.4,9907.2
Phoenix,251180,6686,1134.4,7484.8,10364,12366.5,16107.8,27430.1,20410.5,15505,31358.3,52894.1,7242.6,761.4,8485.2,12252.5,32808.3,23092.2,34775,16974.3,40092.2
Pit Fall,114000,5998.9,-348.8,-113.2,-432.9,-186.7,-193.7,-14.8,-46.9,-154.4,-342.8,-78.5,6463.7,-229.4,-286.1,-29.9,0,0,-2.1,-18.2,-3.5
Pong,21,15.5,-18,18,17.7,19.1,18.7,18.9,18.8,18,18.9,5.6,9.3,-20.7,19.5,20.9,20.7,21,20.8,21,20.7
Private Eye**,101800,64169.1,662.8,207.9,346.3,-575.5,2202.3,179,292.6,5955.4,5717.5,206.9,69571,24.9,146.7,129.7,200,103,15172.9,3966,15177.1
Q*Bert,2400000,12085,183,9271.5,10713.3,11020.8,12740.5,11277,14175.8,9176.6,15035.9,15148.8,13455,163.9,13117.3,15088.5,18802.8,19220.3,16956,15276.3,22956.5
Road Runner,210200,6878,200,35215,43884,43156,57207,56990,58549,35376.5,56086,34216,7845,11.5,39544,44127,62785,69524,63366,41681,71168
Robotank,68,8.9,2.4,58.7,52,59.1,51.3,55.4,62,50.9,49.8,32.8,11.9,2.2,63.9,65.1,58.6,65.3,54.2,53.5,68.5
Seaquest,294940,40425.8,215.5,4216.7,4199.4,14498,11848.8,39096.7,37361.6,2353.1,3275.4,2355.4,20182,68.4,5860.6,16452.7,44417.4,50254.2,4754.4,2495.4,8425.8
Skiing,-3272,-3686.6,-15287.4,-12142.1,-29404.3,-11490.4,-29404.3,-10852.8,-11928,-13905.9,-13247.7,-10911.1,-4336.9,-170981.1,-13062.3,-9092.8,-9900.5,-8857.4,-14959.8,-16307.3,-10753.4
Solaris**,12326.7,11032.6,2047.2,1295.4,2166.8,810,134.6,2238.2,1768.4,2608.2,2530.2,1956,12326.7,1236.3,3482.8,3067.8,1710.8,2250.8,5643.1,3204.5,2760
Space Invaders,43710,1464.9,182.6,1293.8,1495.7,2628.7,1696.9,9063,5993.1,1697.2,6368.6,15730.5,1652,148,1692.3,2525.5,7696.9,6427.3,6869.1,2145.5,2448.6
Star Gunner,164766,9528,697,52970,53052,58365,58946,51959,90804,31864.5,67054.5,138218,10250,664,54282,60142,56641,89238,69306.5,34504.5,70038
Surround,6.5,5.4,-9.7,-6,-7.6,1.9,-5.3,-0.9,4,-3.1,4.5,-9.7,6.5,-10,-5.6,-2.9,2.1,4.4,6.2,-3.3,6.7
Tennis,23.6,-6.7,-21.4,11.1,11,-7.8,-2.3,-2,4.4,-2.1,22.6,-6.3,-8.9,-23.8,12.2,-22.8,0,5.1,23.6,0,23.3
Time Pilot,34400,5650,3273,4786,5375,6608,5391,7448,6601,5311,7684.5,12679,5925,3568,4870,8339,11448,11666,7875,6157,19401
Tutankham,2026,138.3,12.7,45.6,63.6,92.2,96.5,33.6,48,123.3,124.3,156.3,167.6,11.4,68.1,218.4,87.2,211.4,249.4,231.6,272.6
Venture,38900,1039,18,136,75,21,110,244,200,10.5,462,23,1188,0,163,98,863,497,1107,0,1597.5
Video Pinball*,3523988,15641.1,20452,154414.1,148883.6,367823.7,214925.3,374886.9,110976.2,241851.7,455052.7,331628.1,17767.9,16256.9,196760.4,309941.9,406420.4,98209.5,478646.7,270444.6,469366
Wizard of Wor,129500,4556,804,1609,155,6201,2755,7451,7054,4796.5,11824.5,17244,4757,563.5,2704,7492,10373,7855,15994.5,5432,13170.5
Yars Revenge,2011099,47135.2,1476.9,4577.5,5439.5,6270.6,6626.7,5965.1,25976.5,5487.3,8267.7,7157.5,54576.9,3092.9,18089.9,11712.6,16451.7,49622.1,16608.6,9570.1,102760
Zaxxon,83700,8443,475,4412,7874,8593,5901,9501,10164,7650.5,15130,24622,9173.3,32.5,5363,10163,13490,12944,18347.5,9390,25215.5
