Game,Noop-DQN,Noop-DDQN,Noop-DDQN Prio,Noop-DDQN Duel,Noop-Distrib. DQN,Noop-Noisy DQN,Noop Reactor
Alien,1620,3747.7,6648.6,4461.4,4055.8,2394.9,6482.1
Asteroids,1364.5,734.7,1699.3,2837.7,2354.7,4814.1,2780.4
Berzerk,585.6,1225.4,1614.2,1472.6,1421.8,837.3,1641.4
Bowling,50.4,68.1,92.6,65.5,74.1,77.3,75.4
Defender,23633,35338.5,24162.5,42214,37896.8,23083,113128
Gravitar,473,412,330.5,588,681,443.5,1073.8
Krull,8422.3,7290.5,10263.1,11451.9,9885.9,9061.9,9930.8
Montezuma's Revenge,0,0,0,0,367,0,2643.5
Ms. Pacman,3085.6,2711.4,4751.2,6283.5,3769.2,2501.6,2724.3
Phoenix,8485.2,12252.5,32808.3,23092.2,34775,16974.3,40092.2
Pit Fall,-286.1,-29.9,0,0,-2.1,-18.2,-3.5
Private Eye**,146.7,129.7,200,103,15172.9,3966,15177.1
Skiing,-13062.3,-9092.8,-9900.5,-8857.4,-14959.8,-16307.3,-10753.4
Solaris**,3482.8,3067.8,1710.8,2250.8,5643.1,3204.5,2760
Surround,-5.6,-2.9,2.1,4.4,6.2,-3.3,6.7
Yars Revenge,18089.9,11712.6,16451.7,49622.1,16608.6,9570.1,102760
