Game,Human-DQN,Human-DDQN,Human-DDQN-T,Human-DQN Prio (RB),Human-DDQN-T Prio,Human-DDQN-T Duel,Human-Noisy DQN,Human-Distrib. DQN,Human-A3C
Alien,8.100272305,7.901649848,14.49783758,17.02226494,12.36905334,21.75556623,6.487265738,29.94073362,6.24859843
Amidar,10.8988617,11.53997122,10.29046186,5.698024336,13.51563522,10.52597148,8.91011383,14.77822844,16.4922151
Assault,719.1341991,564.3722944,1275.735931,630.8225108,1641.038961,828.5497835,1073.030303,1068.051948,1148.917749
Asterix,40.77867463,69.46347419,226.175134,122.5666418,430.6179204,212.6500712,110.0562979,5364.376314,298.1211422
Asteroids,1.647870729,0.9754250126,0.9030466251,2.260842731,2.19575829,3.265724064,8.996240812,3.367558772,10.10828704
Atlantis,2128.035387,1884.479866,2335.456071,1480.041184,4424.794082,3293.906345,2213.266473,2107.535082,6845.851129
Bank Heist,46.72447013,71.9492614,138.7764933,128.773282,127.6653821,177.8420039,149.8554913,130.6840077,152.2800257
Battle Zone,68.51034951,73.56633865,71.869698,63.42042755,86.66440448,94.19748897,79.48761452,97.35324058,31.86291144
Beam Rider,64.52020889,60.20032095,116.7015721,80.15081869,176.2368765,97.48612849,101.9073329,100.2815101,152.6770658
Berzerk ,14.56353483,21.53913981,39.92358186,21.94082492,47.49191731,35.00048986,23.25364946,39.37983737,30.45948859
Bowling,19.13746631,24.34860737,30.90745732,20.4851752,27.49326146,27.4034142,39.62264151,37.37646002,-0.08984725966
Boxing,646.8468468,482.8828829,675.6756757,640.5405405,631.5315315,709.9099099,610.8108108,572.972973,552.2522523
Breakout,1341.825095,1281.749049,1396.577947,1823.193916,1406.844106,1558.935361,1603.422053,2080.228137,2586.692015
Centipede,24.39616979,38.60106712,22.9622219,12.3136106,17.82192368,35.19960936,27.26049259,66.11643085,21.79862798
Chopper Command,52.77576635,22.19406227,34.40743423,72.90610669,71.92855419,37.89524499,98.17161477,108.0919623,76.96113927
Crazy Climber,380.5872267,364.2434634,447.6853836,428.6326618,521.8559794,493.9091299,382.5096442,621.8581226,442.8161166
Defender,113.1503183,53.24601598,207.1651596,151.4009975,155.1275293,259.7664328,130.3434573,245.5739832,442.540854
Demon Attack ,381.5860257,424.6467769,2151.649405,595.7798732,2256.221982,1734.874015,772.9015304,3389.961354,3496.679549
Double Dunk ,625,600,981.25,668.75,1168.75,950,937.5,768.75,993.75
Enduro,86.19221411,67.84671533,157.9562044,163.9172749,239.1970803,262.676399,134.2214112,267.0559611,-0.08515815085
Fishing Derby ,91.84914842,89.6593674,97.68856448,98.05352798,104.9878345,88.80778589,89.29440389,87.83454988,116.6666667
Freeway,105.0980392,102.745098,112.5490196,110.9803922,109.0196078,0.3921568627,105.8823529,112.5490196,0
Frostbite ,10.38826032,4.639299874,33.40344261,5.374238468,69.23411662,54.78193598,8.519485543,66.42249299,3.000193405
Gopher,385.2692868,412.0718098,727.9475983,835.9146046,2791.547792,960.7666181,624.98787,1335.676856,474.1775837
Gravitar ,1.82894966,-2.630203797,-1.567671137,3.675317889,-0.9580212507,1.794112524,0.1741856819,6.148754572,2.02055391
H.E.R.O,55.28894312,56.72551743,54.87507781,55.9402451,78.0164969,56.17520848,3.602359527,111.1908521,127.3081029
Ice Hockey ,79.41176471,59.80392157,70.58823529,57.84313725,85.29411765,82.35294118,71.56862745,94.11764706,67.64705882
Kangaroo,166.5782493,228.7987874,420.7654415,339.2572944,384.2743463,387.7984085,279.082986,358.298598,-0.227358848
Krull,528.0087756,520.1107397,589.6573339,1050.7313,653.4266611,720.821145,593.5645633,585.6560802,460.5202674
Kung-Fu Master,100.4647802,109.6871521,145.9907825,97.04239655,151.0535669,117.0933661,134.830199,163.9717226,139.2143652
Montezuma's Revenge,0.5292278085,0.1202790474,0.4089487611,0.4570603801,-0.2886697137,-0.07216742843,0.7216742843,2.525859995,1.010343998
Ms. Pacman,5.893708985,7.93295206,6.875444746,5.052974198,10.71870964,13.52555149,5.365284769,12.29673458,3.003847877
Name This Game ,98.86692286,121.3046234,142.8727071,138.4790618,199.8395468,186.9438612,107.7334495,190.850204,172.8992512
Phoenix,114.3886447,166.2511708,202.3218532,269.7132358,473.6598458,347.2170185,258.8551048,544.4178255,932.338425
Pit Fall,3.711580572,-1.32488933,2.553680861,2.443404698,5.26174835,4.756053374,3.062526584,0.09452242545,4.258235266
Pong,107.4626866,106.5671642,110.7462687,109.5522388,110.1492537,109.8507463,107.4626866,110.1492537,70.44776119
Private Eye**,-0.7163068861,-0.4983757517,-1.949885287,2.424168941,-0.7618141822,-0.5829342916,8.333976314,7.959367811,-0.717881533
Q*Bert,76.36111578,88.47504621,91.05864561,105.5074777,93.211225,117.5667955,75.56377079,124.793312,125.7418921
Road Runner,524.3336328,654.1479485,643.246481,853.6537886,850.4043127,873.7496256,526.7520216,836.8673255,509.3740641
Robotank,866.1538462,763.0769231,872.3076923,752.3076923,815.3846154,916.9230769,746.1538462,729.2307692,467.6923077
Seaquest,9.950684277,9.907660475,35.5195062,28.93114451,96.69462799,92.37956444,5.316050863,7.609741783,5.32177079
Skiing,27.11278533,-121.6890214,32.73050134,-121.6890214,38.22667402,28.9583477,11.90866147,17.58240811,37.72412247
Solaris**,-8.366906315,1.331048145,-13.76900305,-21.28564115,2.125670532,-3.102811227,6.243461616,5.375386738,-1.014979856
