Game,Noop-DQN,Noop-DDQN,Noop-DDQN Prio,Noop-DDQN Duel,Noop-Distrib. DQN,Noop-Noisy DQN
Alien,20.94415694,52.95312312,96.59405464,63.68997473,57.58815742,32.60169696
Amidar,58.20859777,107.023111,122.5002994,140.6238774,75.5658005,95.9286313
Assault,318.5929648,405.9987437,607.9852387,345.3674623,446.4981156,390.7192211
Asterix,50.03014591,206.7550947,495.0922465,337.3688653,4827.197637,147.0372603
Asteroids,5.188978847,0.125423102,7.880751574,17.03342204,13.15012985,32.92356427
Atlantis,1651.236247,576.1280752,2564.025219,2285.338113,1613.580171,1954.25887
Bank Heist,61.20522077,141.1274646,154.4848653,221.8411552,144.7514579,181.727298
Battle Zone,77.70880361,82.78781038,100.9311512,98.16591422,109.4384876,83.77539503
Beam Rider,152.715714,247.8035889,407.8061762,218.072111,237.46558,224.9099074
Berzerk ,18.42661667,43.95021343,59.46064547,53.81178442,51.78521562,28.46770655
Bowling,20.72892938,34.16856492,52.77145027,32.19438117,38.72437358,41.15413819
Boxing,2092.857143,2178.571429,2350,2364.285714,2333.333333,1980.952381
Breakout,1275.083056,1384.717608,1261.79402,1141.528239,20343.18937,1519.601329
Centipede,26.000547,33.61493502,31.24461867,55.41374176,70.14313064,22.94243373
Chopper Command,58.59331937,55.09866608,47.66839378,114.6951824,135.8725609,95.99823614
Crazy Climber,405.9296401,432.3968251,699.7685796,539.1262865,680.3536266,438.4299953
Defender,131.263279,205.2812626,134.6114933,248.7574616,221.4582912,127.7854361
Demon Attack ,369.2726769,1781.898489,2155.181754,1867.130413,3400.3632,763.2737234
Double Dunk ,387.0967742,422.5806452,754.8387097,603.2258065,477.4193548,541.9354839
Enduro,235.4651163,391.4082687,696.0594315,729.3927649,729.748062,364.7286822
Fishing Derby ,89.30041152,110.2880658,125.4115226,142.0781893,103.7037037,102.2633745
Freeway,104.0540541,112.5,111.1486486,0,113.5135135,108.1081081
Frostbite ,17.14834418,37.89638859,78.60789733,107.9113776,90.70682468,12.14108389
Gopher,412.9010371,706.7558399,2366.957449,749.3069691,1385.257342,719.7004943
Gravitar ,12.00480192,9.56382553,6.302521008,16.60664266,20.32813125,10.82432973
H.E.R.O,78.47186287,77.22833118,105.6229787,80.00970246,132.737306,16.27627749
Ice Hockey ,76.85950413,70.24793388,95.04132231,96.69421488,103.3057851,75.20661157
Kangaroo,241.6024137,433.7914851,484.0764331,496.2118672,431.0090513,404.4585987
Krull,856.2484316,714.2409034,1087.214555,1236.373902,1039.887077,936.4993726
Kung-Fu Master,114.7833437,131.025892,192.2413026,151.4191654,190.1904084,150.5516505
Montezuma's Revenge,0,0,0,0,8.403938631,0
Ms. Pacman,18.05767693,15.6255484,28.88331373,38.8425616,22.5007637,14.26194453
Name This Game ,331.6420923,466.6535852,624.9425352,542.6248809,599.3889107,338.6275719
Phoenix,119.1723755,177.298957,494.4593594,344.5473061,524.8040486,250.1527495
Pit Fall,-0.8471410856,2.980681597,3.427410318,3.427410318,3.396034722,3.155488488
Pong,134,138.6666667,138,139,138.3333333,139
Private Eye**,0.1751356295,0.1506914119,0.251775441,0.1122996113,21.78123576,5.666888582
Q*Bert,97.45920202,112.2901791,140.2359474,143.3771471,126.3409349,113.7031547
Road Runner,504.6594753,563.1646135,801.3467799,887.3747367,808.7636433,531.939746
Robotank,636.0824742,648.4536082,581.443299,650.5154639,536.0824742,528.8659794
Seaquest,28.79743059,81.45881394,220.492602,249.5117731,23.29766924,12.06646249
Skiing,94.76405419,97.14607529,96.66138996,97.28733433,93.6254007,92.8167917
Solaris**,20.25625766,16.51428262,4.278475078,9.147551035,39.73526654,17.74688018
Space Invaders,102.6795213,158.0784574,501.9215426,417.5066489,446.8816489,132.8125
Star Gunner,559.3365324,620.4673482,583.9453369,923.9933236,716.0703109,353.0200292
Surround,26.66666667,43.03030303,73.33333333,87.27272727,98.18181818,40.60606061
Tennis,241.6107383,6.711409396,159.7315436,193.9597315,318.1208054,159.7315436
Time Pilot,55.2397115,202.4183284,334.3232923,343.5723377,182.7322868,109.8430208
Tutankham,36.29961588,132.5224072,48.52752881,128.0409731,152.368758,140.9731114
Venture,13.72053872,8.249158249,72.64309764,41.83501684,93.18181818,0
Video Pinball*,11945.96294,19436.46592,25821.54203,5423.732627,30601.57512,16822.4818
Wizard of Wor ,51.04328127,165.2199833,233.9215452,173.876237,367.9742459,116.0963396
Yars Revenge,29.12943827,16.7424831,25.94747883,90.37603916,26.2522337,12.58099604
Zaxxon,58.31546473,110.8272799,147.2245318,141.2513128,200.3653947,102.3706897
