Game,Human-Human,Human-DQN,Human-DDQN,Human-DDQN-T,Human-DQN Prio (RB),Human-DDQN-T Prio,Human-DDQN-T Duel,Human-Noisy DQN,Human-Distrib. DQN,Human-A3C,Noop-Human,Noop-DQN,Noop-DDQN,Noop-DDQN Prio,Noop-DDQN Duel,Noop-Distrib. DQN,Noop-Noisy DQN
Alien,6.034525256,0.488812978,0.4768270557,0.8748756702,1.027212877,0.7464136477,1.312845139,0.3914756894,1.806781132,0.3770732504,6.42522766,1.347005279,3.405634163,6.212362803,4.096165457,3.703732371,2.096749849
Amidar,2.137387929,0.2329509545,0.2466539518,0.2199470897,0.1217888844,0.2888815558,0.2249808438,0.1904436975,0.3158680709,0.3525026148,2.335382258,1.359279227,2.499189074,2.860610264,3.283829583,1.764602255,2.240112299
Assault,5.448048962,39.17878327,30.74727892,69.50271813,34.36751925,89.40460608,45.13979788,58.45921628,58.18799307,62.59360149,15.01869082,48.16371104,61.37739477,91.91296916,52.21138096,67.49994065,59.06749282
Asterix,0.7372712811,0.3006494568,0.5121342461,1.667524308,0.9036486502,3.174822258,1.567807904,0.8114134775,39.55000598,2.197961565,0.8294364423,0.4149871473,1.714980146,4.106662399,2.798387661,40.04035848,1.219636124
Asteroids,63.12523575,1.040222282,0.6157393388,0.5700503111,1.427162304,1.386077597,2.061496015,5.678898221,2.125779414,6.380880027,22.02618442,1.139861782,0.02755166378,1.731162874,3.741727878,2.88868598,7.232311744
Atlantis,0.1237988224,2.63448275,2.332963882,2.891267113,1.832273556,5.477842966,4.077817266,2.73999783,2.609103613,8.475083079,0.1527468997,2.522066203,0.8799668429,3.916242368,3.49058109,2.464551043,2.984897078
Bank Heist,1.357534118,0.6343006236,0.9767357713,1.883938244,1.748141238,1.73310112,2.414265879,2.034339423,1.774079992,2.067253304,1.56983955,0.9606667132,2.21511263,2.424768115,3.481980961,2.271994212,2.852360695
Battle Zone,31.20499788,21.37865311,22.95637442,22.42693774,19.79034307,27.04362558,29.39432444,24.80410843,30.37907666,9.942820839,37.52647183,28.79548306,30.67754078,37.40066918,36.37599331,40.55311585,31.04349645
Beam Rider,27.95287713,18.03525472,16.82772175,32.62144706,22.40445987,49.26327754,27.25017772,28.48603154,28.0315673,42.6776326,10.28503328,15.73956089,25.53974032,42.03031879,22.47548193,24.47425912,23.18021565
Berzerk ,0.1929956769,0.02810699263,0.04156960867,0.07705078706,0.04234484359,0.0916573473,0.06754943233,0.04487853818,0.0760013837,0.05878549619,0.2369855312,0.0436654266,0.104148518,0.140903482,0.1275174149,0.1227150688,0.06745972812
