Game,Noop-DQN,Noop-DDQN,Noop-DDQN Prio,Noop-DDQN Duel,Noop-Distrib. DQN,Noop-Noisy DQN,Noop Reactor,Difficulty,Discrimination
Amidar,978,1793.3,2051.8,2354.5,1267.9,1608,833,2.4923,78.0941
Assault,4280,5393.2,7965.7,4621,5909,5198.6,11013.5,-0.7708,1.8294
Asterix,4359,17356.2,41268,28188,400529.5,12403.8,36238.5,1.1733,74.4803
Atlantis,279987,106056,427658,382572,273895,329010,308258,-1.1099,2.6871
Bank Heist,455,1030.6,1126.8,1611.9,1056.7,1323,988.7,1.2731,24.8152
Battle Zone,29900,31700,38130,37150,41145,32050,61220,2.8353,2.4685
Beam Rider,8627.5,13772.8,22430.7,12164,13213.4,12534,8566.5,1.4068,1.1584
Boxing,88,91.6,98.8,99.4,98.1,83.3,99.4,-2.1137,1.4113
Breakout,385.5,418.5,381.5,345.3,6125,459.1,518.4,-0.442,4.0757
Centipede,4657.7,5409.4,5175.4,7561.4,9015.5,4355.8,3402.8,-4.9378,-0.48837
Chopper Command,6126,5809,5135,11215,13136,9519,37568,2.839,2.4495
Crazy Climber,110763,117282,183137,143570,178355,118768,194347,-0.9109,4.1155
Demon Attack,12149.4,58044.2,70171.8,60813.3,110626.5,24950.1,100189,-0.6806,3.3891
Double Dunk,-6.6,-5.5,4.8,0.1,-3.8,-1.8,11.4,-0.36,1.8784
Enduro,729,1211.8,2155,2258.2,2259.3,1129.2,2230.1,0.8585,2.103
Fishing Derby,-4.9,15.5,30.2,46.4,9.1,7.7,23.2,1.29,3.1237
Freeway,30.8,33.3,32.9,0,33.6,32,31.4,0.6037,1.1638
Frostbite,797.4,1683.3,3421.6,4672.8,3938.2,583.6,8042.1,2.7459,147.1717
Gopher,8777.4,14840.8,49097.4,15718.8,28841,15107.9,69135.1,-0.674,23.2702
H.E.R.O,20437.8,20130.2,27153.9,20818.2,33860.9,5053.1,35542.2,9.1425,0.4492
Ice Hockey,-1.9,-2.7,0.3,0.5,1.3,-2.1,3.4,2.51,2.0126
Kangaroo,7259,12992,14492,14854,12909,12117,10484.5,0.8703,1.1254
Kung-Fu Master,26059,29710,43470,34294,43009,34099,59799.5,-0.2213,2.0463
Name This Game,8207.8,10616,13439.4,11971.1,12983.6,8332.4,9907.2,-0.0082,3.7408
Pong,19.5,20.9,20.7,21,20.8,21,20.7,-0.0444,34.1503
Q*Bert,13117.3,15088.5,18802.8,19220.3,16956,15276.3,22956.5,1.3986,1.1885
Road Runner,39544,44127,62785,69524,63366,41681,71168,-0.6739,22.9443
Robotank,63.9,65.1,58.6,65.3,54.2,53.5,68.5,-6.6632,0.2757
Seaquest,5860.6,16452.7,44417.4,50254.2,4754.4,2495.4,8425.8,2.8701,146.3442
Space Invaders,1692.3,2525.5,7696.9,6427.3,6869.1,2145.5,2448.6,0.1642,2.8756
Star Gunner,54282,60142,56641,89238,69306.5,34504.5,70038,-0.3252,5.0075
Tennis,12.2,-22.8,0,5.1,23.6,0,23.3,10.4861,-0.1116
Time Pilot,4870,8339,11448,11666,7875,6157,19401,0.608,1.3447
Tutankham,68.1,218.4,87.2,211.4,249.4,231.6,272.6,1.9818,0.6103
Venture,163,98,863,497,1107,0,1597.5,-4.9576,-0.5809
Video Pinball*,196760.4,309941.9,406420.4,98209.5,478646.7,270444.6,469366,3.1605,-0.2958
Wizard of Wor,2704,7492,10373,7855,15994.5,5432,13170.5,0.5086,1.9847
Zaxxon,5363,10163,13490,12944,18347.5,9390,25215.5,0.8755,2.7558
